IP_Address,Total_Requests,DELETE_Perc,GET_Perc,POST_Perc,PUT_Perc,4xx_Perc,5xx_Perc,Other_Perc,Unique_User_Agents,Unique_Sessions,Unique_Locations,Anomaly_Count,Top_User_Agent,Top_Location
1.167.102.162,4,0.25,0,0.75,0,0,0.25,0.75,4,4,4,0,Firefox,Guadeloupe
1.167.76.50,3,0,0.333333333,0.333333333,0.333333333,0,0.666666667,0.333333333,2,3,3,1,Chrome,Rwanda
1.17.74.136,1,0,1,0,0,1,0,0,1,1,1,0,Chrome,USA
1.170.139.218,1,0,0,0,1,0,0,1,1,1,1,0,Edge,India
1.175.234.251,2,0,1,0,0,0,0,1,2,2,2,0,Bot,Falkland Islands (Malvinas)
1.176.155.230,1,0,0,1,0,0,0,1,1,1,1,0,Bot,Brazil
1.177.171.84,5,0.4,0.4,0.2,0,0.6,0.2,0.2,3,5,5,0,Opera,Cocos (Keeling) Islands
1.179.252.226,1,0,0,0,1,0,1,0,1,1,1,0,Opera,Canada
1.185.113.239,1,0,0,1,0,0,0,1,1,1,1,0,Bot,Malta
1.185.76.3,1,0,0,0,1,0,0,1,1,1,1,0,Firefox,USA
1.187.96.42,5,0.6,0.2,0.2,0,0.2,0,0.8,3,5,5,0,Bot,Mayotte
1.189.121.116,1,0,0,0,1,1,0,0,1,1,1,0,Edge,Brazil
1.19.7.28,5,0.2,0.2,0.4,0.2,0.6,0.2,0.2,4,5,5,0,Bot,Macao
1.191.50.100,1,0,0,1,0,0,0,1,1,1,1,0,Opera,Costa Rica
1.195.126.136,1,0,0,1,0,1,0,0,1,1,1,0,Safari,Canada
1.197.116.26,5,0,0,0.4,0.6,0.4,0.2,0.4,2,5,5,0,Chrome,Cocos (Keeling) Islands
1.199.128.61,3,0.666666667,0,0,0.333333333,0.333333333,0.333333333,0.333333333,3,3,3,0,Bot,Antarctica (the territory South of 60 deg S)
1.200.20.44,4,0.75,0.25,0,0,0.5,0,0.5,3,4,4,0,Bot,Australia
1.201.57.192,3,0,0.333333333,0.333333333,0.333333333,0.666666667,0.333333333,0,3,3,3,0,Opera,Brunei Darussalam
1.207.98.212,4,0.5,0.25,0.25,0,0.25,0,0.75,3,4,4,0,Edge,Pitcairn Islands
1.208.66.213,1,1,0,0,0,1,0,0,1,1,1,0,Edge,Canada
1.211.184.194,4,0.25,0.5,0,0.25,0.25,0.25,0.5,3,4,4,0,Edge,Congo
1.212.157.52,1,1,0,0,0,0,0,1,1,1,1,0,Edge,French Guiana
1.212.187.141,1,0,0,0,1,1,0,0,1,1,1,0,Edge,Namibia
1.213.100.54,2,0,0,1,0,0.5,0,0.5,2,2,2,0,Chrome,Lao People's Democratic Republic
1.214.200.182,4,0.25,0.25,0.25,0.25,0.75,0.25,0,4,4,4,0,Firefox,Cocos (Keeling) Islands
1.217.192.168,6,0,0.333333333,0.333333333,0.333333333,0.5,0.166666667,0.333333333,3,6,6,0,Edge,Bangladesh
1.218.166.86,1,0,0,0,1,1,0,0,1,1,1,0,Opera,USA
1.221.150.132,4,0,0.75,0,0.25,0.25,0,0.75,3,4,4,0,Safari,Cyprus
1.221.188.64,1,0,0,1,0,1,0,0,1,1,1,0,Firefox,China
1.221.242.24,1,1,0,0,0,0,0,1,1,1,1,0,Edge,Brazil
1.224.28.88,2,0.5,0.5,0,0,0.5,0,0.5,2,2,2,0,Chrome,Brunei Darussalam
1.226.21.185,6,0.166666667,0,0.166666667,0.666666667,0.666666667,0.166666667,0.166666667,5,6,6,0,Opera,Philippines
1.226.45.199,5,0.2,0.2,0.4,0.2,0.4,0,0.6,4,5,5,0,Safari,Antigua and Barbuda
1.227.87.113,3,0.666666667,0.333333333,0,0,0.666666667,0,0.333333333,2,3,3,0,Bot,Aruba
1.229.84.38,2,0.5,0,0.5,0,0,0.5,0.5,2,2,2,0,Safari,Uruguay
1.23.210.158,1,0,0,0,1,1,0,0,1,1,1,0,Edge,Papua New Guinea
1.230.18.137,2,0,0.5,0.5,0,0.5,0,0.5,2,2,2,0,Edge,Greece
1.231.209.97,1,0,0,1,0,0,1,0,1,1,1,0,Safari,China
1.231.22.68,1,1,0,0,0,1,0,0,1,1,1,0,Firefox,Cambodia
1.233.127.181,9,0.333333333,0,0.333333333,0.333333333,0.555555556,0,0.444444444,4,9,9,0,Opera,South Africa
1.233.136.174,7,0.285714286,0.428571429,0.285714286,0,0.142857143,0.285714286,0.571428571,5,7,7,0,Edge,Central African Republic
1.233.44.44,5,0,0.4,0,0.6,0.2,0.6,0.2,4,5,5,0,Bot,Zimbabwe
1.234.89.115,7,0.428571429,0.428571429,0.142857143,0,0.428571429,0.285714286,0.285714286,4,7,7,0,Bot,Congo
1.235.105.197,1,0,0,1,0,0,1,0,1,1,1,1,Firefox,USA
1.235.32.227,9,0.333333333,0.111111111,0.222222222,0.333333333,0.111111111,0.333333333,0.555555556,4,9,9,0,Firefox,Nauru
1.236.12.20,1,0,1,0,0,0,1,0,1,1,1,0,Firefox,Mauritania
1.237.194.149,4,0.25,0.25,0,0.5,0.25,0.25,0.5,4,4,4,0,Opera,El Salvador
1.240.171.206,1,0,0,0,1,0,0,1,1,1,1,0,Firefox,China
1.26.89.103,6,0.333333333,0.333333333,0,0.333333333,0.166666667,0.166666667,0.666666667,4,6,6,0,Opera,Nauru
1.27.39.110,6,0.333333333,0.5,0,0.166666667,0.166666667,0.5,0.333333333,4,6,6,0,Bot,Angola
1.34.205.195,7,0.285714286,0.285714286,0.142857143,0.285714286,0.571428571,0.142857143,0.285714286,4,7,7,0,Chrome,Malaysia
1.37.222.27,1,0,1,0,0,0,0,1,1,1,1,0,Chrome,China
1.37.95.90,1,1,0,0,0,1,0,0,1,1,1,0,Edge,Brazil
1.41.101.150,1,0,0,1,0,1,0,0,1,1,1,0,Chrome,China
1.41.138.235,4,0.75,0.25,0,0,0.25,0.25,0.5,3,4,4,0,Firefox,Kenya
1.45.70.174,3,0.333333333,0.333333333,0.333333333,0,0.666666667,0,0.333333333,3,3,3,0,Edge,Marshall Islands
1.47.218.149,7,0.428571429,0.142857143,0.285714286,0.142857143,0,0.142857143,0.857142857,4,7,7,0,Chrome,Bangladesh
1.48.27.134,6,0.5,0.333333333,0.166666667,0,0.333333333,0.333333333,0.333333333,4,6,6,0,Chrome,Grenada
1.53.139.249,3,0.333333333,0,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,2,3,3,0,Safari,Guinea-Bissau
1.53.70.89,2,0,1,0,0,0.5,0,0.5,2,2,2,0,Firefox,Panama
1.57.171.151,4,0.25,0.25,0.25,0.25,0.5,0.5,0,3,4,4,0,Edge,Palestinian Territory
1.59.3.231,3,0,0.666666667,0.333333333,0,0.333333333,0.333333333,0.333333333,3,3,3,0,Chrome,Marshall Islands
1.6.112.219,3,0.333333333,0,0,0.666666667,0,0.666666667,0.333333333,2,3,3,0,Opera,Korea
1.61.145.100,1,0,0,0,1,1,0,0,1,1,1,0,Chrome,Brazil
1.64.89.120,2,0,0.5,0.5,0,0.5,0.5,0,2,2,2,0,Safari,Timor-Leste
1.66.135.107,1,1,0,0,0,0,1,0,1,1,1,0,Safari,Paraguay
1.68.60.168,1,0,0,1,0,0,1,0,1,1,1,0,Safari,Canada
1.69.210.187,1,0,0,0,1,1,0,0,1,1,1,0,Bot,Holy See (Vatican City State)
1.7.26.17,2,0,0.5,0,0.5,1,0,0,2,2,2,0,Bot,El Salvador
1.70.194.203,1,1,0,0,0,0,0,1,1,1,1,0,Bot,French Southern Territories
1.72.31.102,1,0,1,0,0,0,0,1,1,1,1,0,Chrome,Brazil
1.74.5.181,2,0.5,0.5,0,0,1,0,0,1,2,2,0,Opera,Niger
1.77.217.150,5,0.4,0.4,0.2,0,0.2,0,0.8,3,5,5,0,Bot,San Marino
1.8.201.57,2,0.5,0,0,0.5,0,0.5,0.5,2,2,2,0,Firefox,Bosnia and Herzegovina
1.80.127.123,1,0,0,0,1,0,0,1,1,1,1,0,Opera,India
1.83.112.15,1,0,0,0,1,0,0,1,1,1,1,0,Edge,France
1.83.134.200,1,0,0,0,1,0,1,0,1,1,1,0,Edge,USA
1.84.41.204,1,0,1,0,0,0,0,1,1,1,1,0,Edge,France
1.86.126.39,6,0.333333333,0.166666667,0.333333333,0.166666667,0.166666667,0.166666667,0.666666667,4,6,6,1,Bot,Pitcairn Islands
1.87.231.17,1,0,1,0,0,0,0,1,1,1,1,0,Opera,China
1.88.102.119,1,0,0,1,0,0,0,1,1,1,1,0,Edge,India
1.90.101.16,3,0,0.333333333,0.666666667,0,0.333333333,0,0.666666667,3,3,3,0,Opera,French Southern Territories
1.93.140.252,4,0,0.25,0.75,0,0.25,0.5,0.25,3,4,4,0,Chrome,Monaco
1.93.170.113,2,0.5,0,0,0.5,0.5,0.5,0,2,2,2,0,Firefox,Ghana
1.93.43.224,6,0.166666667,0.5,0.166666667,0.166666667,0.5,0.333333333,0.166666667,4,6,6,0,Bot,Poland
1.94.109.153,3,0.666666667,0.333333333,0,0,0.333333333,0.333333333,0.333333333,2,3,3,0,Firefox,Pakistan
1.94.210.195,4,0,0.25,0.5,0.25,0.5,0.25,0.25,2,4,4,0,Edge,Australia
1.94.69.211,1,0,0,0,1,1,0,0,1,1,1,0,Firefox,Germany
1.99.235.30,6,0.833333333,0,0,0.166666667,0.666666667,0,0.333333333,4,6,6,0,Firefox,Tuvalu
10.0.7.24,1,1,0,0,0,1,0,0,1,1,1,0,Opera,India
10.10.197.247,1,0,0,0,1,1,0,0,1,1,1,0,Firefox,USA
10.102.131.7,1,0,0,1,0,0,0,1,1,1,1,0,Chrome,Brazil
10.102.9.209,4,0,0.5,0.5,0,0.25,0,0.75,3,4,4,0,Bot,Cambodia
10.113.205.245,1,1,0,0,0,0,0,1,1,1,1,0,Chrome,France
10.114.223.216,3,0.333333333,0.333333333,0,0.333333333,0.333333333,0,0.666666667,3,3,3,0,Opera,Belgium
10.115.85.182,3,0.333333333,0.333333333,0,0.333333333,0.333333333,0.333333333,0.333333333,2,3,3,0,Chrome,Zimbabwe
10.116.43.44,2,0,0.5,0,0.5,1,0,0,2,2,2,0,Safari,Gibraltar
10.118.191.64,4,0,0,0.25,0.75,0.75,0,0.25,2,4,4,0,Opera,Brunei Darussalam
10.119.55.42,1,0,0,1,0,0,0,1,1,1,1,0,Opera,Brazil
10.12.70.59,1,1,0,0,0,1,0,0,1,1,1,0,Chrome,Canada
10.125.164.31,4,0.75,0.25,0,0,0.5,0,0.5,3,4,4,0,Edge,Chile
10.127.94.55,1,0,0,0,1,0,0,1,1,1,1,1,Chrome,Canada
10.129.108.20,5,0.6,0.2,0.2,0,0,0.6,0.4,4,5,5,0,Bot,Portugal
10.129.223.171,1,0,1,0,0,0,1,0,1,1,1,0,Firefox,Botswana
10.129.50.87,1,0,0,0,1,1,0,0,1,1,1,0,Firefox,Brazil
10.131.150.231,10,0.2,0.3,0.2,0.3,0.4,0.1,0.5,5,10,9,2,Chrome,Nepal
10.135.200.198,2,0.5,0,0,0.5,0.5,0,0.5,2,2,2,0,Safari,Sao Tome and Principe
10.137.168.235,1,0,1,0,0,1,0,0,1,1,1,0,Bot,Germany
10.14.21.233,1,0,0,0,1,0,0,1,1,1,1,0,Chrome,Brazil
10.143.66.47,4,0.5,0,0.25,0.25,0.5,0.25,0.25,3,4,4,0,Edge,Puerto Rico
10.147.103.37,1,0,0,1,0,0,1,0,1,1,1,0,Bot,India
10.153.48.59,2,0,0.5,0,0.5,0.5,0,0.5,2,2,2,0,Opera,Rwanda
10.154.25.245,1,1,0,0,0,1,0,0,1,1,1,0,Edge,France
10.161.205.211,1,1,0,0,0,0,0,1,1,1,1,0,Bot,USA
10.161.72.53,1,0,0,0,1,1,0,0,1,1,1,0,Opera,Germany
10.163.7.91,5,0,0,0.4,0.6,0.6,0.2,0.2,4,5,5,0,Safari,Madagascar
10.164.187.85,1,0,0,1,0,1,0,0,1,1,1,0,Opera,USA
10.166.4.147,2,0.5,0,0.5,0,0.5,0,0.5,2,2,2,0,Safari,Micronesia
10.167.192.6,2,0,0,1,0,0,0.5,0.5,2,2,2,0,Edge,Sierra Leone
10.168.221.81,1,0,0,1,0,1,0,0,1,1,1,0,Edge,France
10.169.231.76,2,0,0.5,0,0.5,0,0,1,2,2,2,0,Opera,Algeria
10.169.75.111,1,0,1,0,0,0,0,1,1,1,1,0,Chrome,China
10.170.107.16,2,0,0,0.5,0.5,1,0,0,2,2,2,1,Chrome,Isle of Man
10.170.177.3,1,1,0,0,0,1,0,0,1,1,1,0,Chrome,Congo
10.171.166.81,1,0,0,1,0,0,0,1,1,1,1,0,Safari,Philippines
10.173.152.159,2,0,0.5,0.5,0,1,0,0,2,2,2,0,Chrome,Benin
10.173.77.20,1,0,0,0,1,1,0,0,1,1,1,0,Chrome,USA
10.174.246.117,1,1,0,0,0,0,1,0,1,1,1,0,Firefox,Germany
10.174.41.129,8,0.375,0.125,0.25,0.25,0.5,0.25,0.25,4,8,7,0,Edge,Albania
10.175.91.237,1,0,1,0,0,1,0,0,1,1,1,0,Edge,USA
10.176.216.148,3,0.333333333,0,0.333333333,0.333333333,0.333333333,0,0.666666667,2,3,3,0,Chrome,Russian Federation
10.18.135.209,2,0,1,0,0,0.5,0,0.5,2,2,2,0,Safari,Martinique
10.183.18.91,2,0.5,0,0,0.5,0.5,0,0.5,2,2,2,0,Firefox,Namibia
10.188.247.240,2,0.5,0.5,0,0,0,0,1,2,2,2,1,Firefox,Switzerland
10.188.44.189,3,0.333333333,0.333333333,0,0.333333333,0.666666667,0.333333333,0,2,3,3,0,Safari,Palestinian Territory
10.190.118.121,3,0,0.333333333,0.333333333,0.333333333,0.666666667,0,0.333333333,2,3,3,0,Safari,Christmas Island
10.190.177.64,1,0,0,0,1,1,0,0,1,1,1,0,Edge,USA
10.191.165.123,2,0,0,1,0,0,0,1,1,2,2,0,Edge,Swaziland
10.191.189.239,1,1,0,0,0,1,0,0,1,1,1,0,Chrome,Slovakia (Slovak Republic)
10.192.164.74,5,0.2,0.4,0.2,0.2,0.6,0.2,0.2,3,5,5,1,Bot,Guinea-Bissau
10.196.181.230,4,0.5,0,0.25,0.25,0.5,0,0.5,3,4,4,0,Edge,Aruba
10.197.207.237,2,0.5,0,0,0.5,1,0,0,1,2,2,0,Opera,Bermuda
10.20.214.206,5,0.2,0.4,0.4,0,0.4,0.4,0.2,3,5,5,0,Opera,Bhutan
10.200.255.204,1,0,0,1,0,0,0,1,1,1,1,0,Opera,India
10.203.66.99,8,0.375,0.125,0.125,0.375,0.625,0,0.375,5,8,8,1,Chrome,Georgia
10.203.87.35,1,1,0,0,0,1,0,0,1,1,1,0,Opera,China
10.205.252.3,5,0.4,0.4,0,0.2,0.2,0.6,0.2,5,5,5,1,Safari,Bulgaria
10.206.208.198,6,0.333333333,0.166666667,0.166666667,0.333333333,0.333333333,0.5,0.166666667,5,6,6,0,Chrome,Poland
10.207.174.254,1,0,0,1,0,0,0,1,1,1,1,0,Edge,Andorra
10.207.19.75,2,0,1,0,0,0,0.5,0.5,1,2,2,0,Opera,Paraguay
10.209.217.192,1,0,0,1,0,0,1,0,1,1,1,0,Bot,USA
10.212.106.92,1,1,0,0,0,0,0,1,1,1,1,0,Firefox,Guinea-Bissau
10.214.167.247,1,1,0,0,0,1,0,0,1,1,1,0,Edge,Brazil
10.224.167.217,2,0,0.5,0,0.5,1,0,0,2,2,2,0,Safari,Italy
10.224.72.235,6,0.166666667,0.166666667,0.166666667,0.5,0.5,0.166666667,0.333333333,4,6,6,0,Opera,Martinique
10.23.135.184,1,0,1,0,0,1,0,0,1,1,1,0,Bot,USA
10.234.14.211,2,0,0,0.5,0.5,0.5,0,0.5,2,2,2,0,Edge,Equatorial Guinea
10.234.3.238,7,0.142857143,0.571428571,0.142857143,0.142857143,0.285714286,0.285714286,0.428571429,4,7,7,0,Edge,Tunisia
10.236.225.108,1,1,0,0,0,0,0,1,1,1,1,0,Opera,Canada
10.237.50.103,3,0.333333333,0,0,0.666666667,0.333333333,0.666666667,0,2,3,3,0,Firefox,British Indian Ocean Territory (Chagos Archipelago)
10.237.86.8,2,0.5,0,0.5,0,1,0,0,2,2,2,0,Firefox,Congo
10.240.74.73,1,0,0,1,0,1,0,0,1,1,1,0,Opera,Romania
10.242.241.242,1,0,0,1,0,0,1,0,1,1,1,0,Edge,China
10.243.102.240,5,0.2,0.4,0,0.4,0.4,0.2,0.4,3,5,5,0,Firefox,Cameroon
10.244.132.159,1,0,1,0,0,1,0,0,1,1,1,0,Bot,Korea
10.244.195.133,2,0,0.5,0.5,0,0,0.5,0.5,2,2,2,0,Firefox,Marshall Islands
10.246.21.96,1,1,0,0,0,1,0,0,1,1,1,0,Edge,Ethiopia
10.253.206.195,1,0,1,0,0,0,0,1,1,1,1,0,Edge,France
10.254.190.9,1,0,0,1,0,0,1,0,1,1,1,0,Bot,Canada
10.26.244.83,1,0,0,0,1,0,0,1,1,1,1,0,Firefox,Brazil
10.27.232.65,1,0,0,1,0,0,0,1,1,1,1,0,Chrome,Brazil
10.28.114.217,1,1,0,0,0,1,0,0,1,1,1,0,Safari,India
10.28.15.182,3,0.666666667,0,0.333333333,0,0.666666667,0,0.333333333,3,3,3,0,Firefox,Comoros
10.28.34.117,3,0,0.333333333,0.333333333,0.333333333,0.666666667,0,0.333333333,3,3,3,0,Firefox,Andorra
10.29.213.21,5,0.4,0.2,0.2,0.2,0.4,0.2,0.4,4,5,5,0,Bot,India
10.36.234.78,1,0,0,1,0,0,0,1,1,1,1,0,Firefox,Canada
10.36.244.212,5,0,0.2,0.2,0.6,0.2,0,0.8,4,5,5,0,Opera,Ecuador
10.37.108.45,3,0,0,0.333333333,0.666666667,0,0.333333333,0.666666667,3,3,3,0,Firefox,Namibia
10.37.59.169,4,0,0.25,0.25,0.5,0.5,0.25,0.25,4,4,4,0,Chrome,Armenia
10.38.113.106,2,0,0.5,0,0.5,0.5,0,0.5,2,2,2,0,Opera,Qatar
10.39.20.196,1,0,1,0,0,0,1,0,1,1,1,0,Opera,Brazil
10.4.128.242,4,0.25,0.25,0.25,0.25,0.25,0.25,0.5,3,4,4,0,Bot,Indonesia
10.4.154.120,1,0,0,1,0,1,0,0,1,1,1,0,Firefox,Kenya
10.4.222.11,2,1,0,0,0,0,0.5,0.5,1,2,2,0,Bot,Slovakia (Slovak Republic)
10.40.112.237,1,0,0,1,0,0,0,1,1,1,1,0,Bot,USA
10.40.145.100,6,0.166666667,0.333333333,0,0.5,0.166666667,0.166666667,0.666666667,5,6,6,0,Chrome,Tanzania
10.40.213.179,3,0.666666667,0,0,0.333333333,0.666666667,0.333333333,0,2,3,3,0,Chrome,Montserrat
10.42.213.214,3,0,0.666666667,0.333333333,0,0.666666667,0.333333333,0,3,3,3,0,Edge,Reunion
10.43.22.121,6,0.333333333,0.333333333,0.333333333,0,0.333333333,0.166666667,0.5,4,6,6,0,Safari,Venezuela
10.45.170.151,1,0,0,1,0,1,0,0,1,1,1,0,Firefox,India
10.53.52.133,1,1,0,0,0,1,0,0,1,1,1,0,Edge,India
10.60.105.52,2,0.5,0,0.5,0,0,0,1,2,2,2,0,Edge,Guadeloupe
10.61.241.68,2,0,0.5,0,0.5,0.5,0.5,0,2,2,2,0,Bot,Sao Tome and Principe
10.61.5.180,1,1,0,0,0,1,0,0,1,1,1,0,Firefox,Croatia
10.63.21.136,3,0.333333333,0.333333333,0,0.333333333,0.333333333,0.333333333,0.333333333,3,3,3,1,Bot,French Guiana
10.66.114.197,3,0.333333333,0,0,0.666666667,0.333333333,0,0.666666667,3,3,3,0,Chrome,Liberia
10.7.185.111,4,0.25,0,0,0.75,0.75,0.25,0,2,4,4,0,Firefox,Afghanistan
10.70.232.119,1,0,1,0,0,0,0,1,1,1,1,0,Opera,Fiji
10.72.75.109,3,0,0.333333333,0.333333333,0.333333333,0.666666667,0,0.333333333,3,3,3,0,Firefox,Mayotte
10.73.114.253,4,0.25,0.25,0.25,0.25,1,0,0,4,4,4,0,Firefox,British Virgin Islands
10.73.74.183,1,1,0,0,0,1,0,0,1,1,1,0,Safari,USA
10.76.126.92,1,0,0,0,1,0,1,0,1,1,1,1,Chrome,Norway
10.76.83.188,1,0,0,1,0,0,0,1,1,1,1,0,Safari,USA
10.77.82.241,1,0,0,1,0,0,1,0,1,1,1,0,Safari,France
10.80.195.138,4,0,0,0.25,0.75,0.75,0,0.25,4,4,4,0,Bot,Jersey
10.80.20.12,1,1,0,0,0,1,0,0,1,1,1,0,Bot,Canada
10.83.195.163,1,0,0,1,0,1,0,0,1,1,1,0,Bot,India
10.85.236.1,4,0.5,0,0,0.5,0.75,0,0.25,2,4,4,1,Chrome,Greenland
10.86.176.32,9,0,0,0.333333333,0.666666667,0.333333333,0.111111111,0.555555556,4,9,9,0,Edge,Sierra Leone
10.89.198.237,1,1,0,0,0,0,1,0,1,1,1,0,Opera,Germany
10.89.199.120,1,1,0,0,0,0,0,1,1,1,1,0,Chrome,India
10.89.33.176,4,0.25,0.25,0.5,0,0.5,0.5,0,4,4,4,0,Safari,Palestinian Territory
10.91.238.222,1,0,0,0,1,0,0,1,1,1,1,1,Chrome,USA
10.93.106.189,5,0.2,0.2,0,0.6,0.6,0.2,0.2,4,5,5,0,Firefox,Tanzania
10.93.108.51,4,0.5,0,0.25,0.25,0.25,0.5,0.25,2,4,4,0,Safari,Monaco
10.93.98.121,1,0,1,0,0,1,0,0,1,1,1,0,Chrome,Germany
10.96.127.40,6,0.5,0.166666667,0,0.333333333,0.5,0.166666667,0.333333333,3,6,6,0,Chrome,Puerto Rico
