IP Address,Total_Requests,DELETE_Perc,GET_Perc,POST_Perc,PUT_Perc,4xx_Perc,5xx_Perc,Other_Perc,Unique_User_Agents,Unique_Sessions,Unique_Locations,Top_User_Agent,Top_Location,Label
1.119.41.131,6,0.333333333,0.333333333,0.166666667,0.166666667,0.333333333,0.166666667,0.5,5,6,6,Chrome,Honduras,-1
1.119.75.48,1,0,1,0,0,0,1,0,1,1,1,Bot,China,1
1.127.172.129,2,0,0.5,0,0.5,0.5,0,0.5,1,2,2,Opera,Bahamas,1
1.129.13.167,4,0.75,0,0.25,0,0.25,0.25,0.5,3,4,4,Firefox,Kenya,1
1.129.169.29,5,0,0.6,0.4,0,0.2,0,0.8,3,5,5,Safari,Morocco,1
1.130.209.146,3,0,0,0.666666667,0.333333333,0.666666667,0.333333333,0,3,3,3,Safari,Denmark,1
1.131.62.198,1,0,0,1,0,1,0,0,1,1,1,Firefox,Slovenia,1
1.133.210.188,4,0.5,0.25,0.25,0,0.5,0,0.5,2,4,4,Chrome,Azerbaijan,1
1.133.246.198,4,0.25,0.5,0,0.25,0.5,0.25,0.25,2,4,4,Bot,Jamaica,1
1.134.215.126,1,0,0,0,1,1,0,0,1,1,1,Opera,India,1
1.136.181.79,1,0,0,0,1,1,0,0,1,1,1,Opera,India,1
1.137.142.162,1,0,0,1,0,0,0,1,1,1,1,Opera,Colombia,1
1.139.117.156,1,0,0,1,0,1,0,0,1,1,1,Bot,Northern Mariana Islands,1
1.142.225.92,8,0.625,0.25,0,0.125,0.375,0.375,0.25,3,8,8,Safari,Madagascar,-1
1.142.3.18,3,0.333333333,0.333333333,0.333333333,0,0.666666667,0,0.333333333,3,3,3,Chrome,Italy,1
1.144.48.215,5,0.2,0.2,0.4,0.2,0.2,0,0.8,3,5,5,Opera,Malawi,1
1.147.233.92,2,1,0,0,0,1,0,0,2,2,2,Edge,Monaco,1
1.148.140.62,1,0,1,0,0,1,0,0,1,1,1,Chrome,China,1
1.149.138.252,1,0,0,0,1,0,1,0,1,1,1,Bot,Brazil,1
1.149.179.186,1,0,0,1,0,0,0,1,1,1,1,Chrome,Brazil,1
1.149.187.127,1,0,1,0,0,0,0,1,1,1,1,Edge,India,1
1.150.40.114,5,0.2,0.2,0.2,0.4,0,0.4,0.6,3,5,5,Edge,Samoa,1
1.151.192.3,3,0,0.666666667,0.333333333,0,0.333333333,0,0.666666667,2,3,3,Edge,Kuwait,1
1.153.196.75,4,0,0.25,0.5,0.25,0.25,0.25,0.5,3,4,4,Safari,Israel,1
1.153.205.102,1,1,0,0,0,1,0,0,1,1,1,Edge,China,1
1.154.228.81,2,0,1,0,0,0,0.5,0.5,2,2,2,Opera,Sri Lanka,1
1.155.81.6,3,0.333333333,0.333333333,0.333333333,0,0.666666667,0,0.333333333,2,3,3,Bot,Bouvet Island (Bouvetoya),1
1.157.94.54,4,0.25,0.5,0.25,0,0.25,0,0.75,3,4,3,Chrome,Seychelles,1
1.158.135.185,3,0,0.333333333,0.666666667,0,0.666666667,0,0.333333333,3,3,3,Chrome,Lao People's Democratic Republic,1
1.16.246.255,2,0,0,0.5,0.5,0,0,1,2,2,2,Firefox,Bouvet Island (Bouvetoya),1
1.161.104.45,5,0,0.2,0.4,0.4,0.4,0.4,0.2,3,5,5,Chrome,Equatorial Guinea,1
1.161.123.139,4,0.5,0,0,0.5,0.25,0.5,0.25,2,4,4,Chrome,Martinique,1
1.165.103.52,1,1,0,0,0,0,1,0,1,1,1,Bot,China,1
1.165.228.85,1,0,0,0,1,1,0,0,1,1,1,Chrome,Djibouti,1
1.167.102.162,4,0.25,0,0.75,0,0,0.25,0.75,4,4,4,Firefox,Guadeloupe,-1
1.167.76.50,3,0,0.333333333,0.333333333,0.333333333,0,0.666666667,0.333333333,2,3,3,Chrome,Rwanda,1
1.17.74.136,1,0,1,0,0,1,0,0,1,1,1,Chrome,USA,1
1.170.139.218,1,0,0,0,1,0,0,1,1,1,1,Edge,India,1
1.175.234.251,2,0,1,0,0,0,0,1,2,2,2,Bot,Falkland Islands (Malvinas),1
1.176.155.230,1,0,0,1,0,0,0,1,1,1,1,Bot,Brazil,1
1.177.171.84,5,0.4,0.4,0.2,0,0.6,0.2,0.2,3,5,5,Opera,Cocos (Keeling) Islands,1
1.179.252.226,1,0,0,0,1,0,1,0,1,1,1,Opera,Canada,1
1.185.113.239,1,0,0,1,0,0,0,1,1,1,1,Bot,Malta,1
1.185.76.3,1,0,0,0,1,0,0,1,1,1,1,Firefox,USA,1
1.187.96.42,5,0.6,0.2,0.2,0,0.2,0,0.8,3,5,5,Bot,Mayotte,1
1.189.121.116,1,0,0,0,1,1,0,0,1,1,1,Edge,Brazil,1
1.19.7.28,5,0.2,0.2,0.4,0.2,0.6,0.2,0.2,4,5,5,Bot,Macao,-1
1.191.50.100,1,0,0,1,0,0,0,1,1,1,1,Opera,Costa Rica,1
1.195.126.136,1,0,0,1,0,1,0,0,1,1,1,Safari,Canada,1
1.197.116.26,5,0,0,0.4,0.6,0.4,0.2,0.4,2,5,5,Chrome,Cocos (Keeling) Islands,1
1.199.128.61,3,0.666666667,0,0,0.333333333,0.333333333,0.333333333,0.333333333,3,3,3,Bot,Antarctica (the territory South of 60 deg S),1
1.200.20.44,4,0.75,0.25,0,0,0.5,0,0.5,3,4,4,Bot,Australia,1
1.201.57.192,3,0,0.333333333,0.333333333,0.333333333,0.666666667,0.333333333,0,3,3,3,Opera,Brunei Darussalam,1
1.207.98.212,4,0.5,0.25,0.25,0,0.25,0,0.75,3,4,4,Edge,Pitcairn Islands,1
1.208.66.213,1,1,0,0,0,1,0,0,1,1,1,Edge,Canada,1
1.211.184.194,4,0.25,0.5,0,0.25,0.25,0.25,0.5,3,4,4,Edge,Congo,1
1.212.157.52,1,1,0,0,0,0,0,1,1,1,1,Edge,French Guiana,1
1.212.187.141,1,0,0,0,1,1,0,0,1,1,1,Edge,Namibia,1
1.213.100.54,2,0,0,1,0,0.5,0,0.5,2,2,2,Chrome,Lao People's Democratic Republic,1
1.214.200.182,4,0.25,0.25,0.25,0.25,0.75,0.25,0,4,4,4,Firefox,Cocos (Keeling) Islands,-1
1.217.192.168,6,0,0.333333333,0.333333333,0.333333333,0.5,0.166666667,0.333333333,3,6,6,Edge,Bangladesh,-1
1.218.166.86,1,0,0,0,1,1,0,0,1,1,1,Opera,USA,1
1.221.150.132,4,0,0.75,0,0.25,0.25,0,0.75,3,4,4,Safari,Cyprus,1
1.221.188.64,1,0,0,1,0,1,0,0,1,1,1,Firefox,China,1
1.221.242.24,1,1,0,0,0,0,0,1,1,1,1,Edge,Brazil,1
1.224.28.88,2,0.5,0.5,0,0,0.5,0,0.5,2,2,2,Chrome,Brunei Darussalam,1
1.226.21.185,6,0.166666667,0,0.166666667,0.666666667,0.666666667,0.166666667,0.166666667,5,6,6,Opera,Philippines,-1
1.226.45.199,5,0.2,0.2,0.4,0.2,0.4,0,0.6,4,5,5,Safari,Antigua and Barbuda,-1
1.227.87.113,3,0.666666667,0.333333333,0,0,0.666666667,0,0.333333333,2,3,3,Bot,Aruba,1
1.229.84.38,2,0.5,0,0.5,0,0,0.5,0.5,2,2,2,Safari,Uruguay,1
1.23.210.158,1,0,0,0,1,1,0,0,1,1,1,Edge,Papua New Guinea,1
1.230.18.137,2,0,0.5,0.5,0,0.5,0,0.5,2,2,2,Edge,Greece,1
1.231.209.97,1,0,0,1,0,0,1,0,1,1,1,Safari,China,1
1.231.22.68,1,1,0,0,0,1,0,0,1,1,1,Firefox,Cambodia,1
1.233.127.181,9,0.333333333,0,0.333333333,0.333333333,0.555555556,0,0.444444444,4,9,9,Opera,South Africa,-1
1.233.136.174,7,0.285714286,0.428571429,0.285714286,0,0.142857143,0.285714286,0.571428571,5,7,7,Edge,Central African Republic,-1
1.233.44.44,5,0,0.4,0,0.6,0.2,0.6,0.2,4,5,5,Bot,Zimbabwe,-1
1.234.89.115,7,0.428571429,0.428571429,0.142857143,0,0.428571429,0.285714286,0.285714286,4,7,7,Bot,Congo,-1
1.235.105.197,1,0,0,1,0,0,1,0,1,1,1,Firefox,USA,1
1.235.32.227,9,0.333333333,0.111111111,0.222222222,0.333333333,0.111111111,0.333333333,0.555555556,4,9,9,Firefox,Nauru,-1
1.236.12.20,1,0,1,0,0,0,1,0,1,1,1,Firefox,Mauritania,1
1.237.194.149,4,0.25,0.25,0,0.5,0.25,0.25,0.5,4,4,4,Opera,El Salvador,-1
1.240.171.206,1,0,0,0,1,0,0,1,1,1,1,Firefox,China,1
1.26.89.103,6,0.333333333,0.333333333,0,0.333333333,0.166666667,0.166666667,0.666666667,4,6,6,Opera,Nauru,-1
1.27.39.110,6,0.333333333,0.5,0,0.166666667,0.166666667,0.5,0.333333333,4,6,6,Bot,Angola,-1
1.34.205.195,7,0.285714286,0.285714286,0.142857143,0.285714286,0.571428571,0.142857143,0.285714286,4,7,7,Chrome,Malaysia,-1
1.37.222.27,1,0,1,0,0,0,0,1,1,1,1,Chrome,China,1
1.37.95.90,1,1,0,0,0,1,0,0,1,1,1,Edge,Brazil,1
1.41.101.150,1,0,0,1,0,1,0,0,1,1,1,Chrome,China,1
1.41.138.235,4,0.75,0.25,0,0,0.25,0.25,0.5,3,4,4,Firefox,Kenya,1
1.45.70.174,3,0.333333333,0.333333333,0.333333333,0,0.666666667,0,0.333333333,3,3,3,Edge,Marshall Islands,1
1.47.218.149,7,0.428571429,0.142857143,0.285714286,0.142857143,0,0.142857143,0.857142857,4,7,7,Chrome,Bangladesh,-1
1.48.27.134,6,0.5,0.333333333,0.166666667,0,0.333333333,0.333333333,0.333333333,4,6,6,Chrome,Grenada,-1
1.53.139.249,3,0.333333333,0,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,2,3,3,Safari,Guinea-Bissau,1
1.53.70.89,2,0,1,0,0,0.5,0,0.5,2,2,2,Firefox,Panama,1
1.57.171.151,4,0.25,0.25,0.25,0.25,0.5,0.5,0,3,4,4,Edge,Palestinian Territory,1
1.59.3.231,3,0,0.666666667,0.333333333,0,0.333333333,0.333333333,0.333333333,3,3,3,Chrome,Marshall Islands,1
1.6.112.219,3,0.333333333,0,0,0.666666667,0,0.666666667,0.333333333,2,3,3,Opera,Korea,1
1.61.145.100,1,0,0,0,1,1,0,0,1,1,1,Chrome,Brazil,1
1.64.89.120,2,0,0.5,0.5,0,0.5,0.5,0,2,2,2,Safari,Timor-Leste,1
1.66.135.107,1,1,0,0,0,0,1,0,1,1,1,Safari,Paraguay,1
1.68.60.168,1,0,0,1,0,0,1,0,1,1,1,Safari,Canada,1
1.69.210.187,1,0,0,0,1,1,0,0,1,1,1,Bot,Holy See (Vatican City State),1
1.7.26.17,2,0,0.5,0,0.5,1,0,0,2,2,2,Bot,El Salvador,1
1.70.194.203,1,1,0,0,0,0,0,1,1,1,1,Bot,French Southern Territories,1
1.72.31.102,1,0,1,0,0,0,0,1,1,1,1,Chrome,Brazil,1
1.74.5.181,2,0.5,0.5,0,0,1,0,0,1,2,2,Opera,Niger,1
1.77.217.150,5,0.4,0.4,0.2,0,0.2,0,0.8,3,5,5,Bot,San Marino,1
1.8.201.57,2,0.5,0,0,0.5,0,0.5,0.5,2,2,2,Firefox,Bosnia and Herzegovina,1
1.80.127.123,1,0,0,0,1,0,0,1,1,1,1,Opera,India,1
1.83.112.15,1,0,0,0,1,0,0,1,1,1,1,Edge,France,1
1.83.134.200,1,0,0,0,1,0,1,0,1,1,1,Edge,USA,1
1.84.41.204,1,0,1,0,0,0,0,1,1,1,1,Edge,France,1
1.86.126.39,6,0.333333333,0.166666667,0.333333333,0.166666667,0.166666667,0.166666667,0.666666667,4,6,6,Bot,Pitcairn Islands,-1
1.87.231.17,1,0,1,0,0,0,0,1,1,1,1,Opera,China,1
1.88.102.119,1,0,0,1,0,0,0,1,1,1,1,Edge,India,1
1.90.101.16,3,0,0.333333333,0.666666667,0,0.333333333,0,0.666666667,3,3,3,Opera,French Southern Territories,1
1.93.140.252,4,0,0.25,0.75,0,0.25,0.5,0.25,3,4,4,Chrome,Monaco,1
1.93.170.113,2,0.5,0,0,0.5,0.5,0.5,0,2,2,2,Firefox,Ghana,1
1.93.43.224,6,0.166666667,0.5,0.166666667,0.166666667,0.5,0.333333333,0.166666667,4,6,6,Bot,Poland,-1
1.94.109.153,3,0.666666667,0.333333333,0,0,0.333333333,0.333333333,0.333333333,2,3,3,Firefox,Pakistan,1
1.94.210.195,4,0,0.25,0.5,0.25,0.5,0.25,0.25,2,4,4,Edge,Australia,1
1.94.69.211,1,0,0,0,1,1,0,0,1,1,1,Firefox,Germany,1
1.99.235.30,6,0.833333333,0,0,0.166666667,0.666666667,0,0.333333333,4,6,6,Firefox,Tuvalu,-1
10.0.7.24,1,1,0,0,0,1,0,0,1,1,1,Opera,India,1
10.10.197.247,1,0,0,0,1,1,0,0,1,1,1,Firefox,USA,1
10.102.131.7,1,0,0,1,0,0,0,1,1,1,1,Chrome,Brazil,1
10.102.9.209,4,0,0.5,0.5,0,0.25,0,0.75,3,4,4,Bot,Cambodia,1
10.113.205.245,1,1,0,0,0,0,0,1,1,1,1,Chrome,France,1
10.114.223.216,3,0.333333333,0.333333333,0,0.333333333,0.333333333,0,0.666666667,3,3,3,Opera,Belgium,1
10.115.85.182,3,0.333333333,0.333333333,0,0.333333333,0.333333333,0.333333333,0.333333333,2,3,3,Chrome,Zimbabwe,1
10.116.43.44,2,0,0.5,0,0.5,1,0,0,2,2,2,Safari,Gibraltar,1
10.118.191.64,4,0,0,0.25,0.75,0.75,0,0.25,2,4,4,Opera,Brunei Darussalam,1
10.119.55.42,1,0,0,1,0,0,0,1,1,1,1,Opera,Brazil,1
10.12.70.59,1,1,0,0,0,1,0,0,1,1,1,Chrome,Canada,1
10.125.164.31,4,0.75,0.25,0,0,0.5,0,0.5,3,4,4,Edge,Chile,1
10.127.94.55,1,0,0,0,1,0,0,1,1,1,1,Chrome,Canada,1
10.129.108.20,5,0.6,0.2,0.2,0,0,0.6,0.4,4,5,5,Bot,Portugal,-1
10.129.223.171,1,0,1,0,0,0,1,0,1,1,1,Firefox,Botswana,1
10.129.50.87,1,0,0,0,1,1,0,0,1,1,1,Firefox,Brazil,1
10.131.150.231,10,0.2,0.3,0.2,0.3,0.4,0.1,0.5,5,10,9,Chrome,Nepal,-1
10.135.200.198,2,0.5,0,0,0.5,0.5,0,0.5,2,2,2,Safari,Sao Tome and Principe,1
10.137.168.235,1,0,1,0,0,1,0,0,1,1,1,Bot,Germany,1
10.14.21.233,1,0,0,0,1,0,0,1,1,1,1,Chrome,Brazil,1
10.143.66.47,4,0.5,0,0.25,0.25,0.5,0.25,0.25,3,4,4,Edge,Puerto Rico,1
10.147.103.37,1,0,0,1,0,0,1,0,1,1,1,Bot,India,1
10.153.48.59,2,0,0.5,0,0.5,0.5,0,0.5,2,2,2,Opera,Rwanda,1
10.154.25.245,1,1,0,0,0,1,0,0,1,1,1,Edge,France,1
10.161.205.211,1,1,0,0,0,0,0,1,1,1,1,Bot,USA,1
10.161.72.53,1,0,0,0,1,1,0,0,1,1,1,Opera,Germany,1
10.163.7.91,5,0,0,0.4,0.6,0.6,0.2,0.2,4,5,5,Safari,Madagascar,-1
10.164.187.85,1,0,0,1,0,1,0,0,1,1,1,Opera,USA,1
10.166.4.147,2,0.5,0,0.5,0,0.5,0,0.5,2,2,2,Safari,Micronesia,1
10.167.192.6,2,0,0,1,0,0,0.5,0.5,2,2,2,Edge,Sierra Leone,1
10.168.221.81,1,0,0,1,0,1,0,0,1,1,1,Edge,France,1
10.169.231.76,2,0,0.5,0,0.5,0,0,1,2,2,2,Opera,Algeria,1
10.169.75.111,1,0,1,0,0,0,0,1,1,1,1,Chrome,China,1
10.170.107.16,2,0,0,0.5,0.5,1,0,0,2,2,2,Chrome,Isle of Man,1
10.170.177.3,1,1,0,0,0,1,0,0,1,1,1,Chrome,Congo,1
10.171.166.81,1,0,0,1,0,0,0,1,1,1,1,Safari,Philippines,1
10.173.152.159,2,0,0.5,0.5,0,1,0,0,2,2,2,Chrome,Benin,1
10.173.77.20,1,0,0,0,1,1,0,0,1,1,1,Chrome,USA,1
10.174.246.117,1,1,0,0,0,0,1,0,1,1,1,Firefox,Germany,1
10.174.41.129,8,0.375,0.125,0.25,0.25,0.5,0.25,0.25,4,8,7,Edge,Albania,-1
10.175.91.237,1,0,1,0,0,1,0,0,1,1,1,Edge,USA,1
10.176.216.148,3,0.333333333,0,0.333333333,0.333333333,0.333333333,0,0.666666667,2,3,3,Chrome,Russian Federation,1
10.18.135.209,2,0,1,0,0,0.5,0,0.5,2,2,2,Safari,Martinique,1
10.183.18.91,2,0.5,0,0,0.5,0.5,0,0.5,2,2,2,Firefox,Namibia,1
10.188.247.240,2,0.5,0.5,0,0,0,0,1,2,2,2,Firefox,Switzerland,1
10.188.44.189,3,0.333333333,0.333333333,0,0.333333333,0.666666667,0.333333333,0,2,3,3,Safari,Palestinian Territory,1
10.190.118.121,3,0,0.333333333,0.333333333,0.333333333,0.666666667,0,0.333333333,2,3,3,Safari,Christmas Island,1
10.190.177.64,1,0,0,0,1,1,0,0,1,1,1,Edge,USA,1
10.191.165.123,2,0,0,1,0,0,0,1,1,2,2,Edge,Swaziland,1
10.191.189.239,1,1,0,0,0,1,0,0,1,1,1,Chrome,Slovakia (Slovak Republic),1
10.192.164.74,5,0.2,0.4,0.2,0.2,0.6,0.2,0.2,3,5,5,Bot,Guinea-Bissau,1
10.196.181.230,4,0.5,0,0.25,0.25,0.5,0,0.5,3,4,4,Edge,Aruba,1
10.197.207.237,2,0.5,0,0,0.5,1,0,0,1,2,2,Opera,Bermuda,1
10.20.214.206,5,0.2,0.4,0.4,0,0.4,0.4,0.2,3,5,5,Opera,Bhutan,1
10.200.255.204,1,0,0,1,0,0,0,1,1,1,1,Opera,India,1
10.203.66.99,8,0.375,0.125,0.125,0.375,0.625,0,0.375,5,8,8,Chrome,Georgia,-1
10.203.87.35,1,1,0,0,0,1,0,0,1,1,1,Opera,China,1
10.205.252.3,5,0.4,0.4,0,0.2,0.2,0.6,0.2,5,5,5,Safari,Bulgaria,-1
10.206.208.198,6,0.333333333,0.166666667,0.166666667,0.333333333,0.333333333,0.5,0.166666667,5,6,6,Chrome,Poland,-1
10.207.174.254,1,0,0,1,0,0,0,1,1,1,1,Edge,Andorra,1
10.207.19.75,2,0,1,0,0,0,0.5,0.5,1,2,2,Opera,Paraguay,1
10.209.217.192,1,0,0,1,0,0,1,0,1,1,1,Bot,USA,1
10.212.106.92,1,1,0,0,0,0,0,1,1,1,1,Firefox,Guinea-Bissau,1
10.214.167.247,1,1,0,0,0,1,0,0,1,1,1,Edge,Brazil,1
10.224.167.217,2,0,0.5,0,0.5,1,0,0,2,2,2,Safari,Italy,1
10.224.72.235,6,0.166666667,0.166666667,0.166666667,0.5,0.5,0.166666667,0.333333333,4,6,6,Opera,Martinique,-1
10.23.135.184,1,0,1,0,0,1,0,0,1,1,1,Bot,USA,1
10.234.14.211,2,0,0,0.5,0.5,0.5,0,0.5,2,2,2,Edge,Equatorial Guinea,1
10.234.3.238,7,0.142857143,0.571428571,0.142857143,0.142857143,0.285714286,0.285714286,0.428571429,4,7,7,Edge,Tunisia,-1
10.236.225.108,1,1,0,0,0,0,0,1,1,1,1,Opera,Canada,1
10.237.50.103,3,0.333333333,0,0,0.666666667,0.333333333,0.666666667,0,2,3,3,Firefox,British Indian Ocean Territory (Chagos Archipelago),1
10.237.86.8,2,0.5,0,0.5,0,1,0,0,2,2,2,Firefox,Congo,1
10.240.74.73,1,0,0,1,0,1,0,0,1,1,1,Opera,Romania,1
10.242.241.242,1,0,0,1,0,0,1,0,1,1,1,Edge,China,1
10.243.102.240,5,0.2,0.4,0,0.4,0.4,0.2,0.4,3,5,5,Firefox,Cameroon,1
10.244.132.159,1,0,1,0,0,1,0,0,1,1,1,Bot,Korea,1
10.244.195.133,2,0,0.5,0.5,0,0,0.5,0.5,2,2,2,Firefox,Marshall Islands,1
10.246.21.96,1,1,0,0,0,1,0,0,1,1,1,Edge,Ethiopia,1
10.253.206.195,1,0,1,0,0,0,0,1,1,1,1,Edge,France,1
10.254.190.9,1,0,0,1,0,0,1,0,1,1,1,Bot,Canada,1
10.26.244.83,1,0,0,0,1,0,0,1,1,1,1,Firefox,Brazil,1
10.27.232.65,1,0,0,1,0,0,0,1,1,1,1,Chrome,Brazil,1
10.28.114.217,1,1,0,0,0,1,0,0,1,1,1,Safari,India,1
10.28.15.182,3,0.666666667,0,0.333333333,0,0.666666667,0,0.333333333,3,3,3,Firefox,Comoros,1
10.28.34.117,3,0,0.333333333,0.333333333,0.333333333,0.666666667,0,0.333333333,3,3,3,Firefox,Andorra,1
10.29.213.21,5,0.4,0.2,0.2,0.2,0.4,0.2,0.4,4,5,5,Bot,India,-1
10.36.234.78,1,0,0,1,0,0,0,1,1,1,1,Firefox,Canada,1
10.36.244.212,5,0,0.2,0.2,0.6,0.2,0,0.8,4,5,5,Opera,Ecuador,-1
10.37.108.45,3,0,0,0.333333333,0.666666667,0,0.333333333,0.666666667,3,3,3,Firefox,Namibia,1
10.37.59.169,4,0,0.25,0.25,0.5,0.5,0.25,0.25,4,4,4,Chrome,Armenia,-1
10.38.113.106,2,0,0.5,0,0.5,0.5,0,0.5,2,2,2,Opera,Qatar,1
10.39.20.196,1,0,1,0,0,0,1,0,1,1,1,Opera,Brazil,1
10.4.128.242,4,0.25,0.25,0.25,0.25,0.25,0.25,0.5,3,4,4,Bot,Indonesia,1
10.4.154.120,1,0,0,1,0,1,0,0,1,1,1,Firefox,Kenya,1
10.4.222.11,2,1,0,0,0,0,0.5,0.5,1,2,2,Bot,Slovakia (Slovak Republic),1
10.40.112.237,1,0,0,1,0,0,0,1,1,1,1,Bot,USA,1
10.40.145.100,6,0.166666667,0.333333333,0,0.5,0.166666667,0.166666667,0.666666667,5,6,6,Chrome,Tanzania,-1
10.40.213.179,3,0.666666667,0,0,0.333333333,0.666666667,0.333333333,0,2,3,3,Chrome,Montserrat,1
10.42.213.214,3,0,0.666666667,0.333333333,0,0.666666667,0.333333333,0,3,3,3,Edge,Reunion,1
10.43.22.121,6,0.333333333,0.333333333,0.333333333,0,0.333333333,0.166666667,0.5,4,6,6,Safari,Venezuela,-1
10.45.170.151,1,0,0,1,0,1,0,0,1,1,1,Firefox,India,1
10.53.52.133,1,1,0,0,0,1,0,0,1,1,1,Edge,India,1
10.60.105.52,2,0.5,0,0.5,0,0,0,1,2,2,2,Edge,Guadeloupe,1
10.61.241.68,2,0,0.5,0,0.5,0.5,0.5,0,2,2,2,Bot,Sao Tome and Principe,1
10.61.5.180,1,1,0,0,0,1,0,0,1,1,1,Firefox,Croatia,1
10.63.21.136,3,0.333333333,0.333333333,0,0.333333333,0.333333333,0.333333333,0.333333333,3,3,3,Bot,French Guiana,1
10.66.114.197,3,0.333333333,0,0,0.666666667,0.333333333,0,0.666666667,3,3,3,Chrome,Liberia,1
10.7.185.111,4,0.25,0,0,0.75,0.75,0.25,0,2,4,4,Firefox,Afghanistan,1
10.70.232.119,1,0,1,0,0,0,0,1,1,1,1,Opera,Fiji,1
10.72.75.109,3,0,0.333333333,0.333333333,0.333333333,0.666666667,0,0.333333333,3,3,3,Firefox,Mayotte,1
10.73.114.253,4,0.25,0.25,0.25,0.25,1,0,0,4,4,4,Firefox,British Virgin Islands,-1
10.73.74.183,1,1,0,0,0,1,0,0,1,1,1,Safari,USA,1
10.76.126.92,1,0,0,0,1,0,1,0,1,1,1,Chrome,Norway,1
10.76.83.188,1,0,0,1,0,0,0,1,1,1,1,Safari,USA,1
10.77.82.241,1,0,0,1,0,0,1,0,1,1,1,Safari,France,1
10.80.195.138,4,0,0,0.25,0.75,0.75,0,0.25,4,4,4,Bot,Jersey,-1
10.80.20.12,1,1,0,0,0,1,0,0,1,1,1,Bot,Canada,1
10.83.195.163,1,0,0,1,0,1,0,0,1,1,1,Bot,India,1
10.85.236.1,4,0.5,0,0,0.5,0.75,0,0.25,2,4,4,Chrome,Greenland,1
10.86.176.32,9,0,0,0.333333333,0.666666667,0.333333333,0.111111111,0.555555556,4,9,9,Edge,Sierra Leone,-1
10.89.198.237,1,1,0,0,0,0,1,0,1,1,1,Opera,Germany,1
10.89.199.120,1,1,0,0,0,0,0,1,1,1,1,Chrome,India,1
10.89.33.176,4,0.25,0.25,0.5,0,0.5,0.5,0,4,4,4,Safari,Palestinian Territory,-1
10.91.238.222,1,0,0,0,1,0,0,1,1,1,1,Chrome,USA,1
10.93.106.189,5,0.2,0.2,0,0.6,0.6,0.2,0.2,4,5,5,Firefox,Tanzania,-1
10.93.108.51,4,0.5,0,0.25,0.25,0.25,0.5,0.25,2,4,4,Safari,Monaco,1
10.93.98.121,1,0,1,0,0,1,0,0,1,1,1,Chrome,Germany,1
